ticker,company_name,sector,market_cap,total_debt,equity_volatility,lgd,last_updated,data_source
TMO,Thermo Fisher Scientific Inc.,Healthcare,191987089408.0,43161000000.0,0.313529,0.35,2026-07-08,yfinance
ABT,Abbott Laboratories,Healthcare,166935363584.0,34047000000.0,0.254707,0.35,2026-07-08,yfinance
DHR,Danaher Corporation,Healthcare,137441984512.0,18484000000.0,0.287875,0.35,2026-07-08,yfinance
BMY,Bristol-Myers Squibb Company,Healthcare,118378872832.0,46428000000.0,0.277509,0.35,2026-07-08,yfinance
AMGN,Amgen Inc.,Healthcare,198666616832.0,57323000000.0,0.269395,0.35,2026-07-08,yfinance
GILD,"Gilead Sciences, Inc.",Healthcare,169300475904.0,22174000000.0,0.272075,0.35,2026-07-08,yfinance
ISRG,"Intuitive Surgical, Inc.",Healthcare,151333781504.0,0.0,0.310465,0.35,2026-07-08,yfinance
SYK,Stryker Corporation,Healthcare,126409375744.0,14723000000.0,0.245437,0.35,2026-07-08,yfinance
BSX,Boston Scientific Corporation,Healthcare,67331891200.0,11029000000.0,0.367747,0.35,2026-07-08,yfinance
HCA,"HCA Healthcare, Inc.",Healthcare,93862641664.0,49845000000.0,0.281164,0.35,2026-07-08,yfinance
ELV,"Elevance Health, Inc.",Healthcare,90958462976.0,31842000000.0,0.388678,0.35,2026-07-08,yfinance
CI,The Cigna Group,Healthcare,75820277760.0,30900000000.0,0.341661,0.35,2026-07-08,yfinance
HUM,Humana Inc.,Healthcare,47378669568.0,13993000000.0,0.506628,0.35,2026-07-08,yfinance
CNC,Centene Corporation,Healthcare,32649859072.0,16371000000.0,0.510975,0.35,2026-07-08,yfinance
MOH,"Molina Healthcare, Inc.",Healthcare,12134089728.0,3947000000.0,0.594681,0.35,2026-07-08,yfinance
ZBH,"Zimmer Biomet Holdings, Inc.",Healthcare,17297481728.0,7471000000.0,0.324748,0.35,2026-07-08,yfinance
BAX,Baxter International Inc.,Healthcare,11806481408.0,9687000000.0,0.494492,0.35,2026-07-08,yfinance
BDX,"Becton, Dickinson and Company",Healthcare,43066966016.0,17279000000.0,0.258303,0.35,2026-07-08,yfinance
EW,Edwards Lifesciences Corporation,Healthcare,54597357568.0,702900000.0,0.245657,0.35,2026-07-08,yfinance
HOLX,"Hologic, Inc.",Healthcare,16968846336.0,2520300000.0,0.161398,0.35,2026-06-09,cached — fetch failed 2026-07-08
IDXX,"IDEXX Laboratories, Inc.",Healthcare,44983029760.0,1105451000.0,0.403528,0.35,2026-07-08,yfinance
IQV,IQVIA Holdings Inc.,Healthcare,34753585152.0,16065000000.0,0.424589,0.35,2026-07-08,yfinance
MCK,McKesson Corporation,Healthcare,94520377344.0,8614000000.0,0.289692,0.35,2026-07-08,yfinance
COR,"Cencora, Inc.",Healthcare,59239952384.0,12385520000.0,0.315922,0.35,2026-07-08,yfinance
CAH,"Cardinal Health, Inc.",Healthcare,56141488128.0,8916000000.0,0.294694,0.35,2026-07-08,yfinance
